int32x4_t vmulq_s32(int32x4_t a, int32x4_t b)	a -> Vn.4S;b -> Vm.4S	MUL Vd.4S,Vn.4S,Vm.4S	Vd.4S -> result	v7/A32/A64
uint8x8_t vmul_u8(uint8x8_t a, uint8x8_t b)	a -> Vn.8B;b -> Vm.8B	MUL Vd.8B,Vn.8B,Vm.8B	Vd.8B -> result	v7/A32/A64
uint8x16_t vmulq_u8(uint8x16_t a, uint8x16_t b)	a -> Vn.16B;b -> Vm.16B	MUL Vd.16B,Vn.16B,Vm.16B	Vd.16B -> result	v7/A32/A64
uint16x4_t vmul_u16(uint16x4_t a, uint16x4_t b)	a -> Vn.4H;b -> Vm.4H	MUL Vd.4H,Vn.4H,Vm.4H	Vd.4H -> result	v7/A32/A64
uint16x8_t vmulq_u16(uint16x8_t a, uint16x8_t b)	a -> Vn.8H;b -> Vm.8H	MUL Vd.8H,Vn.8H,Vm.8H	Vd.8H -> result	v7/A32/A64
uint32x2_t vmul_u32(uint32x2_t a, uint32x2_t b)	a -> Vn.2S;b -> Vm.2S	MUL Vd.2S,Vn.2S,Vm.2S	Vd.2S -> result	v7/A32/A64
uint32x4_t vmulq_u32(uint32x4_t a, uint32x4_t b)	a -> Vn.4S;b -> Vm.4S	MUL Vd.4S,Vn.4S,Vm.4S	Vd.4S -> result	v7/A32/A64
float32x2_t vmul_f32(float32x2_t a, float32x2_t b)	a -> Vn.2S;b -> Vm.2S	FMUL Vd.2S,Vn.2S,Vm.2S	Vd.2S -> result	v7/A32/A64
float32x4_t vmulq_f32(float32x4_t a, float32x4_t b)	a -> Vn.4S;b -> Vm.4S	FMUL Vd.4S,Vn.4S,Vm.4S	Vd.4S -> result	v7/A32/A64
poly8x8_t vmul_p8(poly8x8_t a, poly8x8_t b)	a -> Vn.8B;b -> Vm.8B	PMUL Vd.8B,Vn.8B,Vm.8B	Vd.8B -> result	v7/A32/A64
poly8x16_t vmulq_p8(poly8x16_t a, poly8x16_t b)	a -> Vn.16B;b -> Vm.16B	PMUL Vd.16B,Vn.16B,Vm.16B	Vd.16B -> result	v7/A32/A64
float64x1_t vmul_f64(float64x1_t a, float64x1_t b)	a -> Dn;b -> Dm	FMUL Dd,Dn,Dm	Dd -> result	A64
float64x2_t vmulq_f64(float64x2_t a, float64x2_t b)	a -> Vn.2D;b -> Vm.2D	FMUL Vd.2D,Vn.2D,Vm.2D	Vd.2D -> result	A64
float32x2_t vmulx_f32(float32x2_t a, float32x2_t b)	a -> Vn.2S;b -> Vm.2S	FMULX Vd.2S,Vn.2S,Vm.2S	Vd.2S -> result	A64
float32x4_t vmulxq_f32(float32x4_t a, float32x4_t b)	a -> Vn.4S;b -> Vm.4S	FMULX Vd.4S,Vn.4S,Vm.4S	Vd.4S -> result	A64
float64x1_t vmulx_f64(float64x1_t a, float64x1_t b)	a -> Dn;b -> Dm	FMULX Dd,Dn,Dm	Dd -> result	A64
float64x2_t vmulxq_f64(float64x2_t a, float64x2_t b)	a -> Vn.2D;b -> Vm.2D	FMULX Vd.2D,Vn.2D,Vm.2D	Vd.2D -> result	A64
float32_t vmulxs_f32(float32_t a, float32_t b)	a -> Sn;b -> Sm	FMULX Sd,Sn,Sm	Sd -> result	A64
float64_t vmulxd_f64(float64_t a, float64_t b)	a -> Dn;b -> Dm	FMULX Dd,Dn,Dm	Dd -> result	A64
float32x2_t vmulx_lane_f32(float32x2_t a, float32x2_t v, __builtin_constant_p(lane))	a -> Vn.2S;v -> Vm.2S;0 <= lane <= 1	FMULX Vd.2S,Vn.2S,Vm.S[lane]	Vd.2S -> result	A64
float32x4_t vmulxq_lane_f32(float32x4_t a, float32x2_t v, __builtin_constant_p(lane))	a -> Vn.4S;v -> Vm.2S;0 <= lane <= 1	FMULX Vd.4S,Vn.4S,Vm.S[lane]	Vd.4S -> result	A64
float64x1_t vmulx_lane_f64(float64x1_t a, float64x1_t v, __builtin_constant_p(lane))	a -> Dn;v -> Vm.1D;0 <= lane <= 0	FMULX Dd,Dn,Vm.D[lane]	Dd -> result	A64
float64x2_t vmulxq_lane_f64(float64x2_t a, float64x1_t v, __builtin_constant_p(lane))	a -> Vn.2D;v -> Vm.1D;0 <= lane <= 0	FMULX Vd.2D,Vn.2D,Vm.D[lane]	Vd.2D -> result	A64
float32_t vmulxs_lane_f32(float32_t a, float32x2_t v, __builtin_constant_p(lane))	a -> Sn;v -> Vm.2S;0 <= lane <= 1	FMULX Sd,Sn,Vm.S[lane]	Sd -> result	A64
float64_t vmulxd_lane_f64(float64_t a, float64x1_t v, __builtin_constant_p(lane))	a -> Dn;v -> Vm.1D;0 <= lane <= 0	FMULX Dd,Dn,Vm.D[lane]	Dd -> result	A64
float32x2_t vmulx_laneq_f32(float32x2_t a, float32x4_t v, __builtin_constant_p(lane))	a -> Vn.2S;v -> Vm.4S;0 <= lane <= 3	FMULX Vd.2S,Vn.2S,Vm.S[lane]	Vd.2S -> result	A64
float32x4_t vmulxq_laneq_f32(float32x4_t a, float32x4_t v, __builtin_constant_p(lane))	a -> Vn.4S;v -> Vm.4S;0 <= lane <= 3	FMULX Vd.4S,Vn.4S,Vm.S[lane]	Vd.4S -> result	A64
float64x1_t vmulx_laneq_f64(float64x1_t a, float64x2_t v, __builtin_constant_p(lane))	a -> Dn;v -> Vm.2D;0 <= lane <= 1	FMULX Dd,Dn,Vm.D[lane]	Dd -> result	A64
float64x2_t vmulxq_laneq_f64(float64x2_t a, float64x2_t v, __builtin_constant_p(lane))	a -> Vn.2D;v -> Vm.2D;0 <= lane <= 1	FMULX Vd.2D,Vn.2D,Vm.D[lane]	Vd.2D -> result	A64
float32_t vmulxs_laneq_f32(float32_t a, float32x4_t v, __builtin_constant_p(lane))	a -> Sn;v -> Vm.4S;0 <= lane <= 3	FMULX Sd,Sn,Vm.S[lane]	Sd -> result	A64
float64_t vmulxd_laneq_f64(float64_t a, float64x2_t v, __builtin_constant_p(lane))	a -> Dn;v -> Vm.2D;0 <= lane <= 1	FMULX Dd,Dn,Vm.D[lane]	Dd -> result	A64
float32x2_t vdiv_f32(float32x2_t a, float32x2_t b)	a -> Vn.2S;b -> Vm.2S	FDIV Vd.2S,Vn.2S,Vm.2S	Vd.2S -> result	A64
float32x4_t vdivq_f32(float32x4_t a, float32x4_t b)	a -> Vn.4S;b -> Vm.4S	FDIV Vd.4S,Vn.4S,Vm.4S	Vd.4S -> result	A64
float64x1_t vdiv_f64(float64x1_t a, float64x1_t b)	a -> Dn;b -> Dm	FDIV Dd,Dn,Dm	Dd -> result	A64
float64x2_t vdivq_f64(float64x2_t a, float64x2_t b)	a -> Vn.2D;b -> Vm.2D	FDIV Vd.2D,Vn.2D,Vm.2D	Vd.2D -> result	A64
int8x8_t vmla_s8(int8x8_t a, int8x8_t b, int8x8_t c)	a -> Vd.8B;b -> Vn.8B;c -> Vm.8B	MLA Vd.8B,Vn.8B,Vm.8B	Vd.8B -> result	v7/A32/A64
int8x16_t vmlaq_s8(int8x16_t a, int8x16_t b, int8x16_t c)	a -> Vd.16B;b -> Vn.16B;c -> Vm.16B	MLA Vd.16B,Vn.16B,Vm.16B	Vd.16B -> result	v7/A32/A64
int16x4_t vmla_s16(int16x4_t a, int16x4_t b, int16x4_t c)	a -> Vd.4H;b -> Vn.4H;c -> Vm.4H	MLA Vd.4H,Vn.4H,Vm.4H	Vd.4H -> result	v7/A32/A64
int16x8_t vmlaq_s16(int16x8_t a, int16x8_t b, int16x8_t c)	a -> Vd.8H;b -> Vn.8H;c -> Vm.8H	MLA Vd.8H,Vn.8H,Vm.8H	Vd.8H -> result	v7/A32/A64
int32x2_t vmla_s32(int32x2_t a, int32x2_t b, int32x2_t c)	a -> Vd.2S;b -> Vn.2S;c -> Vm.2S	MLA Vd.2S,Vn.2S,Vm.2S	Vd.2S -> result	v7/A32/A64
int32x4_t vmlaq_s32(int32x4_t a, int32x4_t b, int32x4_t c)	a -> Vd.4S;b -> Vn.4S;c -> Vm.4S	MLA Vd.4S,Vn.4S,Vm.4S	Vd.4S -> result	v7/A32/A64
uint8x8_t vmla_u8(uint8x8_t a, uint8x8_t b, uint8x8_t c)	a -> Vd.8B;b -> Vn.8B;c -> Vm.8B	MLA Vd.8B,Vn.8B,Vm.8B	Vd.8B -> result	v7/A32/A64
uint8x16_t vmlaq_u8(uint8x16_t a, uint8x16_t b, uint8x16_t c)	a -> Vd.16B;b -> Vn.16B;c -> Vm.16B	MLA Vd.16B,Vn.16B,Vm.16B	Vd.16B -> result	v7/A32/A64
uint16x4_t vmla_u16(uint16x4_t a, uint16x4_t b, uint16x4_t c)	a -> Vd.4H;b -> Vn.4H;c -> Vm.4H	MLA Vd.4H,Vn.4H,Vm.4H	Vd.4H -> result	v7/A32/A64
uint16x8_t vmlaq_u16(uint16x8_t a, uint16x8_t b, uint16x8_t c)	a -> Vd.8H;b -> Vn.8H;c -> Vm.8H	MLA Vd.8H,Vn.8H,Vm.8H	Vd.8H -> result	v7/A32/A64
uint32x2_t vmla_u32(uint32x2_t a, uint32x2_t b, uint32x2_t c)	a -> Vd.2S;b -> Vn.2S;c -> Vm.2S	MLA Vd.2S,Vn.2S,Vm.2S	Vd.2S -> result	v7/A32/A64
uint32x4_t vmlaq_u32(uint32x4_t a, uint32x4_t b, uint32x4_t c)	a -> Vd.4S;b -> Vn.4S;c -> Vm.4S	MLA Vd.4S,Vn.4S,Vm.4S	Vd.4S -> result	v7/A32/A64
float32x2_t vmla_f32(float32x2_t a, float32x2_t b, float32x2_t c)	N/A	RESULT[I] = a[i] + (b[i] * c[i]) for i = 0 to 1	N/A	v7/A32/A64
float32x4_t vmlaq_f32(float32x4_t a, float32x4_t b, float32x4_t c)	N/A	RESULT[I] = a[i] + (b[i] * c[i]) for i = 0 to 3	N/A	v7/A32/A64
float64x1_t vmla_f64(float64x1_t a, float64x1_t b, float64x1_t c)	N/A	RESULT[I] = a[i] + (b[i] * c[i]) for i = 0	N/A	A64
float64x2_t vmlaq_f64(float64x2_t a, float64x2_t b, float64x2_t c)	N/A	RESULT[I] = a[i] + (b[i] * c[i]) for i = 0 to 1	N/A	A64
int16x8_t vmlal_s8(int16x8_t a, int8x8_t b, int8x8_t c)	a -> Vd.8H;b -> Vn.8B;c -> Vm.8B	SMLAL Vd.8H,Vn.8B,Vm.8B	Vd.8H -> result	v7/A32/A64
int32x4_t vmlal_s16(int32x4_t a, int16x4_t b, int16x4_t c)	a -> Vd.4S;b -> Vn.4H;c -> Vm.4H	SMLAL Vd.4S,Vn.4H,Vm.4H	Vd.4S -> result	v7/A32/A64
int64x2_t vmlal_s32(int64x2_t a, int32x2_t b, int32x2_t c)	a -> Vd.2D;b -> Vn.2S;c -> Vm.2S	SMLAL Vd.2D,Vn.2S,Vm.2S	Vd.2D -> result	v7/A32/A64
uint16x8_t vmlal_u8(uint16x8_t a, uint8x8_t b, uint8x8_t c)	a -> Vd.8H;b -> Vn.8B;c -> Vm.8B	UMLAL Vd.8H,Vn.8B,Vm.8B	Vd.8H -> result	v7/A32/A64
uint32x4_t vmlal_u16(uint32x4_t a, uint16x4_t b, uint16x4_t c)	a -> Vd.4S;b -> Vn.4H;c -> Vm.4H	UMLAL Vd.4S,Vn.4H,Vm.4H	Vd.4S -> result	v7/A32/A64
uint64x2_t vmlal_u32(uint64x2_t a, uint32x2_t b, uint32x2_t c)	a -> Vd.2D;b -> Vn.2S;c -> Vm.2S	UMLAL Vd.2D,Vn.2S,Vm.2S	Vd.2D -> result	v7/A32/A64
int16x8_t vmlal_high_s8(int16x8_t a, int8x16_t b, int8x16_t c)	a -> Vd.8H;b -> Vn.16B;c -> Vm.16B	SMLAL2 Vd.8H,Vn.16B,Vm.16B	Vd.8H -> result	A64
int32x4_t vmlal_high_s16(int32x4_t a, int16x8_t b, int16x8_t c)	a -> Vd.4S;b -> Vn.8H;c -> Vm.8H	SMLAL2 Vd.4S,Vn.8H,Vm.8H	Vd.4S -> result	A64
int64x2_t vmlal_high_s32(int64x2_t a, int32x4_t b, int32x4_t c)	a -> Vd.2D;b -> Vn.4S;c -> Vm.4S	SMLAL2 Vd.2D,Vn.4S,Vm.4S	Vd.2D -> result	A64
uint16x8_t vmlal_high_u8(uint16x8_t a, uint8x16_t b, uint8x16_t c)	a -> Vd.8H;b -> Vn.16B;c -> Vm.16B	UMLAL2 Vd.8H,Vn.16B,Vm.16B	Vd.8H -> result	A64
uint32x4_t vmlal_high_u16(uint32x4_t a, uint16x8_t b, uint16x8_t c)	a -> Vd.4S;b -> Vn.8H;c -> Vm.8H	UMLAL2 Vd.4S,Vn.8H,Vm.8H	Vd.4S -> result	A64
uint64x2_t vmlal_high_u32(uint64x2_t a, uint32x4_t b, uint32x4_t c)	a -> Vd.2D;b -> Vn.4S;c -> Vm.4S	UMLAL2 Vd.2D,Vn.4S,Vm.4S	Vd.2D -> result	A64
int8x8_t vmls_s8(int8x8_t a, int8x8_t b, int8x8_t c)	a -> Vd.8B;b -> Vn.8B;c -> Vm.8B	MLS Vd.8B,Vn.8B,Vm.8B	Vd.8B -> result	v7/A32/A64
int8x16_t vmlsq_s8(int8x16_t a, int8x16_t b, int8x16_t c)	a -> Vd.16B;b -> Vn.16B;c -> Vm.16B	MLS Vd.16B,Vn.16B,Vm.16B	Vd.16B -> result	v7/A32/A64
int16x4_t vmls_s16(int16x4_t a, int16x4_t b, int16x4_t c)	a -> Vd.4H;b -> Vn.4H;c -> Vm.4H	MLS Vd.4H,Vn.4H,Vm.4H	Vd.4H -> result	v7/A32/A64
int16x8_t vmlsq_s16(int16x8_t a, int16x8_t b, int16x8_t c)	a -> Vd.8H;b -> Vn.8H;c -> Vm.8H	MLS Vd.8H,Vn.8H,Vm.8H	Vd.8H -> result	v7/A32/A64
int32x2_t vmls_s32(int32x2_t a, int32x2_t b, int32x2_t c)	a -> Vd.2S;b -> Vn.2S;c -> Vm.2S	MLS Vd.2S,Vn.2S,Vm.2S	Vd.2S -> result	v7/A32/A64
int32x4_t vmlsq_s32(int32x4_t a, int32x4_t b, int32x4_t c)	a -> Vd.4S;b -> Vn.4S;c -> Vm.4S	MLS Vd.4S,Vn.4S,Vm.4S	Vd.4S -> result	v7/A32/A64
uint8x8_t vmls_u8(uint8x8_t a, uint8x8_t b, uint8x8_t c)	a -> Vd.8B;b -> Vn.8B;c -> Vm.8B	MLS Vd.8B,Vn.8B,Vm.8B	Vd.8B -> result	v7/A32/A64
uint8x16_t vmlsq_u8(uint8x16_t a, uint8x16_t b, uint8x16_t c)	a -> Vd.16B;b -> Vn.16B;c -> Vm.16B	MLS Vd.16B,Vn.16B,Vm.16B	Vd.16B -> result	v7/A32/A64
uint16x4_t vmls_u16(uint16x4_t a, uint16x4_t b, uint16x4_t c)	a -> Vd.4H;b -> Vn.4H;c -> Vm.4H	MLS Vd.4H,Vn.4H,Vm.4H	Vd.4H -> result	v7/A32/A64
uint16x8_t vmlsq_u16(uint16x8_t a, uint16x8_t b, uint16x8_t c)	a -> Vd.8H;b -> Vn.8H;c -> Vm.8H	MLS Vd.8H,Vn.8H,Vm.8H	Vd.8H -> result	v7/A32/A64
uint32x2_t vmls_u32(uint32x2_t a, uint32x2_t b, uint32x2_t c)	a -> Vd.2S;b -> Vn.2S;c -> Vm.2S	MLS Vd.2S,Vn.2S,Vm.2S	Vd.2S -> result	v7/A32/A64
uint32x4_t vmlsq_u32(uint32x4_t a, uint32x4_t b, uint32x4_t c)	a -> Vd.4S;b -> Vn.4S;c -> Vm.4S	MLS Vd.4S,Vn.4S,Vm.4S	Vd.4S -> result	v7/A32/A64
float32x2_t vmls_f32(float32x2_t a, float32x2_t b, float32x2_t c)	N/A	RESULT[I] = a[i] - (b[i] * c[i]) for i = 0 to 1	N/A	v7/A32/A64
float32x4_t vmlsq_f32(float32x4_t a, float32x4_t b, float32x4_t c)	N/A	RESULT[I] = a[i] - (b[i] * c[i]) for i = 0 to 3	N/A	v7/A32/A64
float64x1_t vmls_f64(float64x1_t a, float64x1_t b, float64x1_t c)	N/A	RESULT[I] = a[i] - (b[i] * c[i]) for i = 0	N/A	A64
float64x2_t vmlsq_f64(float64x2_t a, float64x2_t b, float64x2_t c)	N/A	RESULT[I] = a[i] - (b[i] * c[i]) for i = 0 to 1	N/A	A64
int16x8_t vmlsl_s8(int16x8_t a, int8x8_t b, int8x8_t c)	a -> Vd.8H;b -> Vn.8B;c -> Vm.8B	SMLSL Vd.8H,Vn.8B,Vm.8B	Vd.8H -> result	v7/A32/A64
int32x4_t vmlsl_s16(int32x4_t a, int16x4_t b, int16x4_t c)	a -> Vd.4S;b -> Vn.4H;c -> Vm.4H	SMLSL Vd.4S,Vn.4H,Vm.4H	Vd.4S -> result	v7/A32/A64
int64x2_t vmlsl_s32(int64x2_t a, int32x2_t b, int32x2_t c)	a -> Vd.2D;b -> Vn.2S;c -> Vm.2S	SMLSL Vd.2D,Vn.2S,Vm.2S	Vd.2D -> result	v7/A32/A64
uint16x8_t vmlsl_u8(uint16x8_t a, uint8x8_t b, uint8x8_t c)	a -> Vd.8H;b -> Vn.8B;c -> Vm.8B	UMLSL Vd.8H,Vn.8B,Vm.8B	Vd.8H -> result	v7/A32/A64
uint32x4_t vmlsl_u16(uint32x4_t a, uint16x4_t b, uint16x4_t c)	a -> Vd.4S;b -> Vn.4H;c -> Vm.4H	UMLSL Vd.4S,Vn.4H,Vm.4H	Vd.4S -> result	v7/A32/A64
uint64x2_t vmlsl_u32(uint64x2_t a, uint32x2_t b, uint32x2_t c)	a -> Vd.2D;b -> Vn.2S;c -> Vm.2S	UMLSL Vd.2D,Vn.2S,Vm.2S	Vd.2D -> result	v7/A32/A64
int16x8_t vmlsl_high_s8(int16x8_t a, int8x16_t b, int8x16_t c)	a -> Vd.8H;b -> Vn.16B;c -> Vm.16B	SMLSL2 Vd.8H,Vn.16B,Vm.16B	Vd.8H -> result	A64
int32x4_t vmlsl_high_s16(int32x4_t a, int16x8_t b, int16x8_t c)	a -> Vd.4S;b -> Vn.8H;c -> Vm.8H	SMLSL2 Vd.4S,Vn.8H,Vm.8H	Vd.4S -> result	A64
int64x2_t vmlsl_high_s32(int64x2_t a, int32x4_t b, int32x4_t c)	a -> Vd.2D;b -> Vn.4S;c -> Vm.4S	SMLSL2 Vd.2D,Vn.4S,Vm.4S	Vd.2D -> result	A64
uint16x8_t vmlsl_high_u8(uint16x8_t a, uint8x16_t b, uint8x16_t c)	a -> Vd.8H;b -> Vn.16B;c -> Vm.16B	UMLSL2 Vd.8H,Vn.16B,Vm.16B	Vd.8H -> result	A64
uint32x4_t vmlsl_high_u16(uint32x4_t a, uint16x8_t b, uint16x8_t c)	a -> Vd.4S;b -> Vn.8H;c -> Vm.8H	UMLSL2 Vd.4S,Vn.8H,Vm.8H	Vd.4S -> result	A64
uint64x2_t vmlsl_high_u32(uint64x2_t a, uint32x4_t b, uint32x4_t c)	a -> Vd.2D;b -> Vn.4S;c -> Vm.4S	UMLSL2 Vd.2D,Vn.4S,Vm.4S	Vd.2D -> result	A64
float32x2_t vfma_f32(float32x2_t a, float32x2_t b, float32x2_t c)	a -> Vd.2S;b -> Vn.2S;c -> Vm.2S	FMLA Vd.2S,Vn.2S,Vm.2S	Vd.2S -> result	v7/A32/A64
float32x4_t vfmaq_f32(float32x4_t a, float32x4_t b, float32x4_t c)	a -> Vd.4S;b -> Vn.4S;c -> Vm.4S	FMLA Vd.4S,Vn.4S,Vm.4S	Vd.4S -> result	v7/A32/A64
float64x1_t vfma_f64(float64x1_t a, float64x1_t b, float64x1_t c)	b -> Dn;c -> Dm;a -> Da	FMADD Dd,Dn,Dm,Da	Dd -> result	A64
float64x2_t vfmaq_f64(float64x2_t a, float64x2_t b, float64x2_t c)	a -> Vd.2D;b -> Vn.2D;c -> Vm.2D	FMLA Vd.2D,Vn.2D,Vm.2D	Vd.2D -> result	A64
float32x2_t vfma_lane_f32(float32x2_t a, float32x2_t b, float32x2_t v, __builtin_constant_p(lane))	a -> Vd.2S;b -> Vn.2S;v -> Vm.2S;0 <= lane <= 1	FMLA Vd.2S,Vn.2S,Vm.S[lane]	Vd.2S -> result	A64
float32x4_t vfmaq_lane_f32(float32x4_t a, float32x4_t b, float32x2_t v, __builtin_constant_p(lane))	a -> Vd.4S;b -> Vn.4S;v -> Vm.2S;0 <= lane <= 1	FMLA Vd.4S,Vn.4S,Vm.S[lane]	Vd.4S -> result	A64
float64x1_t vfma_lane_f64(float64x1_t a, float64x1_t b, float64x1_t v, __builtin_constant_p(lane))	a -> Dd;b -> Dn;v -> Vm.1D;0 <= lane <= 0	FMLA Dd,Dn,Vm.D[lane]	Dd -> result	A64
float64x2_t vfmaq_lane_f64(float64x2_t a, float64x2_t b, float64x1_t v, __builtin_constant_p(lane))	a -> Vd.2D;b -> Vn.2D;v -> Vm.1D;0 <= lane <= 0	FMLA Vd.2D,Vn.2D,Vm.D[lane]	Vd.2D -> result	A64
float32_t vfmas_lane_f32(float32_t a, float32_t b, float32x2_t v, __builtin_constant_p(lane))	a -> Sd;b -> Sn;v -> Vm.2S;0 <= lane <= 1	FMLA Sd,Sn,Vm.S[lane]	Sd -> result	A64
float64_t vfmad_lane_f64(float64_t a, float64_t b, float64x1_t v, __builtin_constant_p(lane))	a -> Dd;b -> Dn;v -> Vm.1D;0 <= lane <= 0	FMLA Dd,Dn,Vm.D[lane]	Dd -> result	A64
float32x2_t vfma_laneq_f32(float32x2_t a, float32x2_t b, float32x4_t v, __builtin_constant_p(lane))	a -> Vd.2S;b -> Vn.2S;v -> Vm.4S;0 <= lane <= 3	FMLA Vd.2S,Vn.2S,Vm.S[lane]	Vd.2S -> result	A64
float32x4_t vfmaq_laneq_f32(float32x4_t a, float32x4_t b, float32x4_t v, __builtin_constant_p(lane))	a -> Vd.4S;b -> Vn.4S;v -> Vm.4S;0 <= lane <= 3	FMLA Vd.4S,Vn.4S,Vm.S[lane]	Vd.4S -> result	A64
float64x1_t vfma_laneq_f64(float64x1_t a, float64x1_t b, float64x2_t v, __builtin_constant_p(lane))	a -> Dd;b -> Dn;v -> Vm.2D;0 <= lane <= 1	FMLA Dd,Dn,Vm.D[lane]	Dd -> result	A64
float64x2_t vfmaq_laneq_f64(float64x2_t a, float64x2_t b, float64x2_t v, __builtin_constant_p(lane))	a -> Vd.2D;b -> Vn.2D;v -> Vm.2D;0 <= lane <= 1	FMLA Vd.2D,Vn.2D,Vm.D[lane]	Vd.2D -> result	A64
float32_t vfmas_laneq_f32(float32_t a, float32_t b, float32x4_t v, __builtin_constant_p(lane))	a -> Sd;b -> Sn;v -> Vm.4S;0 <= lane <= 3	FMLA Sd,Sn,Vm.S[lane]	Sd -> result	A64
float64_t vfmad_laneq_f64(float64_t a, float64_t b, float64x2_t v, __builtin_constant_p(lane))	a -> Dd;b -> Dn;v -> Vm.2D;0 <= lane <= 1	FMLA Dd,Dn,Vm.D[lane]	Dd -> result	A64
float32x2_t vfms_f32(float32x2_t a, float32x2_t b, float32x2_t c)	a -> Vd.2S;b -> Vn.2S;c -> Vm.2S	FMLS Vd.2S,Vn.2S,Vm.2S	Vd.2S -> result	v7/A32/A64
float32x4_t vfmsq_f32(float32x4_t a, float32x4_t b, float32x4_t c)	a -> Vd.4S;b -> Vn.4S;c -> Vm.4S	FMLS Vd.4S,Vn.4S,Vm.4S	Vd.4S -> result	v7/A32/A64
float64x1_t vfms_f64(float64x1_t a, float64x1_t b, float64x1_t c)	b -> Dn;c -> Dm;a -> Da	FMSUB Dd,Dn,Dm,Da	Dd -> result	A64
float64x2_t vfmsq_f64(float64x2_t a, float64x2_t b, float64x2_t c)	a -> Vd.2D;b -> Vn.2D;c -> Vm.2D	FMLS Vd.2D,Vn.2D,Vm.2D	Vd.2D -> result	A64
float32x2_t vfms_lane_f32(float32x2_t a, float32x2_t b, float32x2_t v, __builtin_constant_p(lane))	a -> Vd.2S;b -> Vn.2S;v -> Vm.2S;0 <= lane <= 1	FMLS Vd.2S,Vn.2S,Vm.S[lane]	Vd.2S -> result	A64
float32x4_t vfmsq_lane_f32(float32x4_t a, float32x4_t b, float32x2_t v, __builtin_constant_p(lane))	a -> Vd.4S;b -> Vn.4S;v -> Vm.2S;0 <= lane <= 1	FMLS Vd.4S,Vn.4S,Vm.S[lane]	Vd.4S -> result	A64
float64x1_t vfms_lane_f64(float64x1_t a, float64x1_t b, float64x1_t v, __builtin_constant_p(lane))	a -> Dd;b -> Dn;v -> Vm.1D;0 <= lane <= 0	FMLS Dd,Dn,Vm.D[lane]	Dd -> result	A64
float64x2_t vfmsq_lane_f64(float64x2_t a, float64x2_t b, float64x1_t v, __builtin_constant_p(lane))	a -> Vd.2D;b -> Vn.2D;v -> Vm.1D;0 <= lane <= 0	FMLS Vd.2D,Vn.2D,Vm.D[lane]	Vd.2D -> result	A64
float32_t vfmss_lane_f32(float32_t a, float32_t b, float32x2_t v, __builtin_constant_p(lane))	a -> Sd;b -> Sn;v -> Vm.2S;0 <= lane <= 1	FMLS Sd,Sn,Vm.S[lane]	Sd -> result	A64
float64_t vfmsd_lane_f64(float64_t a, float64_t b, float64x1_t v, __builtin_constant_p(lane))	a -> Dd;b -> Dn;v -> Vm.1D;0 <= lane <= 0	FMLS Dd,Dn,Vm.D[lane]	Dd -> result	A64
float32x2_t vfms_laneq_f32(float32x2_t a, float32x2_t b, float32x4_t v, __builtin_constant_p(lane))	a -> Vd.2S;b -> Vn.2S;v -> Vm.4S;0 <= lane <= 3	FMLS Vd.2S,Vn.2S,Vm.S[lane]	Vd.2S -> result	A64
float32x4_t vfmsq_laneq_f32(float32x4_t a, float32x4_t b, float32x4_t v, __builtin_constant_p(lane))	a -> Vd.4S;b -> Vn.4S;v -> Vm.4S;0 <= lane <= 3	FMLS Vd.4S,Vn.4S,Vm.S[lane]	Vd.4S -> result	A64
float64x1_t vfms_laneq_f64(float64x1_t a, float64x1_t b, float64x2_t v, __builtin_constant_p(lane))	a -> Dd;b -> Dn;v -> Vm.2D;0 <= lane <= 1	FMLS Dd,Dn,Vm.D[lane]	Dd -> result	A64
float64x2_t vfmsq_laneq_f64(float64x2_t a, float64x2_t b, float64x2_t v, __builtin_constant_p(lane))	a -> Vd.2D;b -> Vn.2D;v -> Vm.2D;0 <= lane <= 1	FMLS Vd.2D,Vn.2D,Vm.D[lane]	Vd.2D -> result	A64
float32_t vfmss_laneq_f32(float32_t a, float32_t b, float32x4_t v, __builtin_constant_p(lane))	a -> Sd;b -> Sn;v -> Vm.4S;0 <= lane <= 3	FMLS Sd,Sn,Vm.S[lane]	Sd -> result	A64
float64_t vfmsd_laneq_f64(float64_t a, float64_t b, float64x2_t v, __builtin_constant_p(lane))	a -> Dd;b -> Dn;v -> Vm.2D;0 <= lane <= 1	FMLS Dd,Dn,Vm.D[lane]	Dd -> result	A64
int16x4_t vqdmulh_s16(int16x4_t a, int16x4_t b)	a -> Vn.4H;b -> Vm.4H	SQDMULH Vd.4H,Vn.4H,Vm.4H	Vd.4H -> result	v7/A32/A64
int16x8_t vqdmulhq_s16(int16x8_t a, int16x8_t b)	a -> Vn.8H;b -> Vm.8H	SQDMULH Vd.8H,Vn.8H,Vm.8H	Vd.8H -> result	v7/A32/A64
int32x2_t vqdmulh_s32(int32x2_t a, int32x2_t b)	a -> Vn.2S;b -> Vm.2S	SQDMULH Vd.2S,Vn.2S,Vm.2S	Vd.2S -> result	v7/A32/A64
int32x4_t vqdmulhq_s32(int32x4_t a, int32x4_t b)	a -> Vn.4S;b -> Vm.4S	SQDMULH Vd.4S,Vn.4S,Vm.4S	Vd.4S -> result	v7/A32/A64
int16_t vqdmulhh_s16(int16_t a, int16_t b)	a -> Hn;b -> Hm	SQDMULH Hd,Hn,Hm	Hd -> result	A64
